name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,147,43,8,47,147084347,Northmoor,147.0625,-43.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,251,19,44,4,251441904,Northmoor,251.34375,-19.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,176,52,77,90,176775290,Northmoor,176.6015625,-52.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,271,56,96,47,271965647,Northmoor,271.75,-56.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,218,47,31,3,218314703,Northmoor,218.2421875,-47.9765625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,223,13,104,81,2231041381,Northmoor,223.8125,-13.3671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,233,52,44,49,233445249,Northmoor,233.34375,-52.6171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,197,27,9,105,1970927105,Northmoor,197.0703125,-27.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,248,58,97,37,248975837,Northmoor,248.7578125,-58.7109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,219,10,13,86,219131086,Northmoor,219.1015625,-10.328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,187,52,5,9,187055209,Northmoor,187.0390625,-52.9296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,165,44,61,36,165614436,Northmoor,165.4765625,-44.71875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,212,47,77,27,212774727,Northmoor,212.6015625,-47.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,158,34,52,88,158523488,Northmoor,158.40625,-34.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,177,51,50,26,177505126,Northmoor,177.390625,-51.796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,227,48,26,59,227264859,Northmoor,227.203125,-48.5390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,241,58,73,46,241735846,Northmoor,241.5703125,-58.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,231,60,27,42,231276042,Northmoor,231.2109375,-60.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,256,49,52,33,256524933,Northmoor,256.40625,-49.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,250,33,56,42,250563342,Northmoor,250.4375,-33.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,168,60,51,45,168516045,Northmoor,168.3984375,-60.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,251,6,95,68,251950668,Northmoor,251.7421875,-6.46875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,151,50,73,82,151735082,Northmoor,151.5703125,-50.359375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,157,42,68,95,157684295,Northmoor,157.53125,-42.2578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,257,11,114,84,2571141184,Northmoor,257.890625,-11.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,227,64,110,24,2271106424,Northmoor,227.859375,-64.8125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,259,35,20,83,259203583,Northmoor,259.15625,-35.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,270,45,100,47,2701004547,Northmoor,270.78125,-45.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,174,49,72,79,174724979,Northmoor,174.5625,-49.3828125
