name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,90,414,455,59,61,4145945561,Bergama,414.4609375,-455.5234375
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,90,425,472,91,61,4259147261,Bergama,425.7109375,-472.5234375
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,90,428,472,68,61,4286847261,Bergama,428.53125,-472.5234375
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,90,438,464,18,61,4381846461,Bergama,438.140625,-464.5234375
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,412,454,67,88,4126745488,Bergama,412.5234375,-454.3125
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,90,415,463,41,61,4154146361,Bergama,415.3203125,-463.5234375
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,410,469,67,127,41067469127,Bergama,410.5234375,-469.0078125
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,412,471,67,55,4126747155,Bergama,412.5234375,-471.5703125
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,412,474,67,15,4126747415,Bergama,412.5234375,-474.8828125
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,413,479,67,106,41367479106,Bergama,413.5234375,-479.171875
Bergama Banner Post,0,WOD_Bergama_BannerPost_01,,432,469,67,5,4326746905,Bergama,432.5234375,-469.9609375
