name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_01,776,358,90,76,7769035876,Totambu,776.703125,-358.40625
Bandit Camp,0,WOD_BanditCamp_03,932,373,67,68,9326737368,Totambu,932.5234375,-373.46875
Bandit Camp,0,WOD_BanditCamp_06,802,320,77,72,8027732072,Totambu,802.6015625,-320.4375
Bandit Camp,0,WOD_BanditCamp_05,855,344,13,37,8551334437,Totambu,855.1015625,-344.7109375
Bandit Camp,0,WOD_BanditCamp_01,779,318,35,108,77935318108,Totambu,779.2734375,-318.15625
Bandit Fort,0,WOD_BanditFort_01,826,357,46,51,8264635751,Totambu,826.359375,-357.6015625
Bandit Camp,0,WOD_BanditCamp_06,839,373,72,28,8397237328,Totambu,839.5625,-373.78125
Bandit Camp,0,WOD_BanditCamp_01,926,362,120,93,92612036293,Totambu,926.9375,-362.2734375
Bandit Camp,0,WOD_BanditCamp_02,895,388,73,20,8957338820,Totambu,895.5703125,-388.84375
Bandit Camp,0,WOD_BanditCamp_05,862,365,24,79,8622436579,Totambu,862.1875,-365.3828125
Bandit Camp,0,WOD_BanditCamp_05,925,370,88,88,9258837088,Totambu,925.6875,-370.3125
Bandit Fort,0,WOD_BanditFort_01,915,353,42,70,9154235370,Totambu,915.328125,-353.453125
Bandit Camp,0,WOD_BanditCamp_03,837,373,31,99,8373137399,Totambu,837.2421875,-373.2265625
Bandit Fort,0,WOD_BanditFort_01,738,333,61,101,73861333101,Totambu,738.4765625,-333.2109375
Bandit Camp,0,WOD_BanditCamp_06,754,345,113,115,754113345115,Totambu,754.8828125,-345.1015625
Bandit Camp,0,WOD_BanditCamp_06,856,338,118,81,85611833881,Totambu,856.921875,-338.3671875
Bandit Fort,0,WOD_BanditFort_02,930,382,73,58,9307338258,Totambu,930.5703125,-382.546875
Bandit Camp,0,WOD_BanditCamp_01,791,359,61,8,7916135908,Totambu,791.4765625,-359.9375
Bandit Camp,0,WOD_BanditCamp_05,794,349,42,93,7944234993,Totambu,794.328125,-349.2734375
Bandit Camp,0,WOD_BanditCamp_06,849,347,101,122,849101347122,Totambu,849.7890625,-347.046875
Bandit Camp,0,WOD_BanditCamp_05,795,367,46,95,7954636795,Totambu,795.359375,-367.2578125
Bandit Fort,0,WOD_BanditFort_01,811,343,29,84,8112934384,Totambu,811.2265625,-343.34375
Bandit Camp,0,WOD_BanditCamp_03,884,343,26,47,8842634347,Totambu,884.203125,-343.6328125
Bandit Camp,0,WOD_BanditCamp_06,828,358,90,52,8289035852,Totambu,828.703125,-358.59375
Bandit Camp,0,WOD_BanditCamp_06,910,356,52,113,91052356113,Totambu,910.40625,-356.1171875
Bandit Camp,0,WOD_BanditCamp_03,842,325,1,56,8420132556,Totambu,842.0078125,-325.5625
Bandit Fort,0,WOD_BanditFort_02,896,362,29,13,8962936213,Totambu,896.2265625,-362.8984375
Bandit Camp,0,WOD_BanditCamp_05,900,339,52,18,9005233918,Totambu,900.40625,-339.859375
Bandit Camp,0,WOD_BanditCamp_05,879,387,73,82,8797338782,Totambu,879.5703125,-387.359375
Bandit Camp,0,WOD_BanditCamp_06,771,348,77,88,7717734888,Totambu,771.6015625,-348.3125
Bandit Camp,0,WOD_BanditCamp_02,785,357,26,72,7852635772,Totambu,785.203125,-357.4375
Bandit Camp,0,WOD_BanditCamp_01,904,334,84,55,9048433455,Totambu,904.65625,-334.5703125
Bandit Camp,0,WOD_BanditCamp_02,890,339,99,19,8909933919,Totambu,890.7734375,-339.8515625
Bandit Fort,0,WOD_BanditFort_01,796,345,69,50,7966934550,Totambu,796.5390625,-345.609375
Bandit Fort,0,WOD_BanditFort_03,747,361,56,28,7475636128,Totambu,747.4375,-361.78125
Bandit Camp,0,WOD_BanditCamp_06,791,329,41,101,79141329101,Totambu,791.3203125,-329.2109375
Bandit Fort,0,WOD_BanditFort_03,834,348,110,91,83411034891,Totambu,834.859375,-348.2890625
Bandit Camp,0,WOD_BanditCamp_01,776,355,95,79,7769535579,Totambu,776.7421875,-355.3828125
Bandit Camp,0,WOD_BanditCamp_03,845,366,73,4,8457336604,Totambu,845.5703125,-366.96875
Bandit Fort,0,WOD_BanditFort_01,780,343,28,24,7802834324,Totambu,780.21875,-343.8125
Bandit Fort,0,WOD_BanditFort_02,809,323,54,9,8095432309,Totambu,809.421875,-323.9296875
Bandit Fort,0,WOD_BanditFort_02,848,366,28,38,8482836638,Totambu,848.21875,-366.703125
Bandit Camp,0,WOD_BanditCamp_01,780,345,51,28,7805134528,Totambu,780.3984375,-345.78125
Bandit Camp,0,WOD_BanditCamp_01,916,369,93,84,9169336984,Totambu,916.7265625,-369.34375
Bandit Camp,0,WOD_BanditCamp_02,870,369,86,8,8708636908,Totambu,870.671875,-369.9375
Bandit Camp,0,WOD_BanditCamp_03,810,332,24,96,8102433296,Totambu,810.1875,-332.25
Bandit Camp,0,WOD_BanditCamp_02,909,382,23,74,9092338274,Totambu,909.1796875,-382.421875
Bandit Camp,0,WOD_BanditCamp_02,855,340,29,90,8552934090,Totambu,855.2265625,-340.296875
Bandit Camp,0,WOD_BanditCamp_01,927,376,93,51,9279337651,Totambu,927.7265625,-376.6015625
Bandit Camp,0,WOD_BanditCamp_06,752,361,95,55,7529536155,Totambu,752.7421875,-361.5703125
Bandit Fort,0,WOD_BanditFort_02,753,366,9,37,7530936637,Totambu,753.0703125,-366.7109375
Bandit Camp,0,WOD_BanditCamp_05,763,339,10,90,7631033990,Totambu,763.078125,-339.296875
Bandit Camp,0,WOD_BanditCamp_01,808,370,120,32,80812037032,Totambu,808.9375,-370.75
Bandit Fort,0,WOD_BanditFort_01,755,328,64,9,7556432809,Totambu,755.5,-328.9296875
Bandit Camp,0,WOD_BanditCamp_01,771,324,70,37,7717032437,Totambu,771.546875,-324.7109375
Bandit Camp,0,WOD_BanditCamp_05,899,373,50,23,8995037323,Totambu,899.390625,-373.8203125
Bandit Fort,0,WOD_BanditFort_02,912,385,93,87,9129338587,Totambu,912.7265625,-385.3203125
Bandit Fort,0,WOD_BanditFort_01,833,334,111,76,83311133476,Totambu,833.8671875,-334.40625
Bandit Fort,0,WOD_BanditFort_01,860,353,31,65,8603135365,Totambu,860.2421875,-353.4921875
Bandit Camp,0,WOD_BanditCamp_06,800,356,38,32,8003835632,Totambu,800.296875,-356.75
Bandit Fort,0,WOD_BanditFort_01,808,348,19,12,8081934812,Totambu,808.1484375,-348.90625
Bandit Fort,0,WOD_BanditFort_02,770,322,58,83,7705832283,Totambu,770.453125,-322.3515625
Bandit Camp,0,WOD_BanditCamp_06,803,355,102,12,80310235512,Totambu,803.796875,-355.90625
Bandit Fort,0,WOD_BanditFort_01,834,327,15,68,8341532768,Totambu,834.1171875,-327.46875
Bandit Camp,0,WOD_BanditCamp_02,923,382,42,45,9234238245,Totambu,923.328125,-382.6484375
Bandit Camp,0,WOD_BanditCamp_06,909,390,125,38,90912539038,Totambu,909.9765625,-390.703125
Bandit Fort,0,WOD_BanditFort_02,936,349,15,69,9361534969,Totambu,936.1171875,-349.4609375
Bandit Fort,0,WOD_BanditFort_01,893,349,38,76,8933834976,Totambu,893.296875,-349.40625
