name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,65,282,23,58,99,Ykalon,282.453125,-23.2265625,2,4.0,0.5,0.41018715
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-62,299,21,41,31,Ykalon,299.3203125,-21.7578125,2,4.0,0.5,0.449645
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-150,287,25,73,40,Ykalon,287.5703125,-25.6875,2,4.0,0.5,0.48775435
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-67,291,30,6,8,Ykalon,291.046875,-30.9375,2,4.0,0.5,0.48470705
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,43,301,21,26,125,Ykalon,301.203125,-21.0234375,2,4.0,0.5,0.4748776
Rocks,1,WOD_Rocks_Round_Small_03,122,292,34,128,14,Ykalon,293.0,-34.890625,1,4.0,0.5,0.40426155
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,86,286,26,26,22,Ykalon,286.203125,-26.828125,2,4.0,0.5,0.48727135
Rocks,1,WOD_Rocks_Round_Small_06,-52,276,38,31,70,Ykalon,276.2421875,-38.453125,1,4.0,0.5,0.42320095
Rocks,1,WOD_Rocks_Round_Small_08,131,434,33,124,48,Ykalon,434.96875,-33.625,1,4.0,0.5,0.42315455
Rocks,1,WOD_Rocks_Round_Small_03,-118,283,30,81,1,Ykalon,283.6328125,-30.9921875,1,4.0,0.5,0.3751782
Rocks,1,WOD_Rocks_Round_Small_08,12,292,44,73,57,Ykalon,292.5703125,-44.5546875,1,4.0,0.5,0.3852257
Rocks,1,WOD_Rocks_Round_Small_01,-4,296,44,91,22,Ykalon,296.7109375,-44.828125,1,4.0,0.5,0.4965382
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-145,294,15,72,117,Ykalon,294.5625,-15.0859375,2,4.0,0.5,0.48002575
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,14,282,23,109,88,Ykalon,282.8515625,-23.3125,2,4.0,0.5,0.4885416
Rocks,1,WOD_Rocks_Round_Small_01,-151,299,40,36,109,Ykalon,299.28125,-40.1484375,1,4.0,0.5,0.46181795
Rocks,1,WOD_Rocks_Round_Small_01,-22,301,36,114,86,Ykalon,301.890625,-36.328125,1,4.0,0.5,0.4447067
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-111,303,22,116,57,Ykalon,303.90625,-22.5546875,2,4.0,0.5,0.4322442
Rocks,1,WOD_Rocks_Round_Small_10,37,436,36,42,0,Ykalon,436.328125,-37.0,1,4.0,0.5,0.44663055
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-46,316,4,35,103,Ykalon,316.2734375,-4.1953125,2,4.0,0.5,0.46956105
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,64,291,31,84,105,Ykalon,291.65625,-31.1796875,2,4.0,0.5,0.4415979
Rocks,1,WOD_Rocks_Round_Small_07,114,302,40,113,33,Ykalon,302.8828125,-40.7421875,1,4.0,0.5,0.441007
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-7,294,29,65,42,Ykalon,294.5078125,-29.671875,2,4.0,0.5,0.38729365
Rocks,1,WOD_Rocks_Round_Small_06,176,281,35,68,40,Ykalon,281.53125,-35.6875,1,4.0,0.5,0.4533938
Rocks,1,WOD_Rocks_Round_Small_06,-135,306,47,35,3,Ykalon,306.2734375,-47.9765625,1,4.0,0.5,0.37712915
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,70,303,11,38,31,Ykalon,303.296875,-11.7578125,2,4.0,0.5,0.4051254
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-94,293,13,27,19,Ykalon,293.2109375,-13.8515625,2,4.0,0.5,0.43836755
Rocks,1,WOD_Rocks_Round_Small_02,101,304,46,22,10,Ykalon,304.171875,-46.921875,1,4.0,0.5,0.4101388
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-31,301,22,19,71,Ykalon,301.1484375,-22.4453125,2,4.0,0.5,0.4474369
Rocks,1,WOD_Rocks_Round_Small_02,-109,438,40,114,118,Ykalon,438.890625,-40.078125,1,4.0,0.5,0.41010755
Rocks,1,WOD_Rocks_Round_Small_09,-164,302,44,6,35,Ykalon,302.046875,-44.7265625,1,4.0,0.5,0.4421625
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-114,307,25,24,117,Ykalon,307.1875,-25.0859375,2,4.0,0.5,0.4838644
Rocks,1,WOD_Rocks_Round_Small_03,-22,292,43,10,39,Ykalon,292.078125,-43.6953125,1,4.0,0.5,0.41201805
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-104,282,27,109,21,Ykalon,282.8515625,-27.8359375,2,4.0,0.5,0.43518545
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-149,306,7,60,109,Ykalon,306.46875,-7.1484375,2,4.0,0.5,0.4266276
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-12,288,25,63,64,Ykalon,288.4921875,-25.5,2,4.0,0.5,0.3951668
Rocks,1,WOD_Rocks_Round_Small_01,-131,281,38,4,5,Ykalon,281.03125,-38.9609375,1,4.0,0.5,0.49332095
Rocks,1,WOD_Rocks_Round_Small_05,-150,281,31,119,4,Ykalon,281.9296875,-31.96875,1,4.0,0.5,0.48143785
Rocks,1,WOD_Rocks_Round_Small_02,151,279,37,64,98,Ykalon,279.5,-37.234375,1,4.0,0.5,0.41807845
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-165,290,19,108,25,Ykalon,290.84375,-19.8046875,2,4.0,0.5,0.3780635
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,14,317,3,56,76,Ykalon,317.4375,-3.40625,2,4.0,0.5,0.3996047
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,74,295,21,23,36,Ykalon,295.1796875,-21.71875,2,4.0,0.5,0.4167922
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,12,314,5,12,117,Ykalon,314.09375,-5.0859375,2,4.0,0.5,0.4422063
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,145,298,14,99,116,Ykalon,298.7734375,-14.09375,2,4.0,0.5,0.41267345
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-124,309,8,13,7,Ykalon,309.1015625,-8.9453125,2,4.0,0.5,0.44096535
Rocks,1,WOD_Rocks_Round_Small_01,47,280,36,125,122,Ykalon,280.9765625,-36.046875,1,4.0,0.5,0.40642715
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,78,297,28,19,26,Ykalon,297.1484375,-28.796875,2,4.0,0.5,0.49015455
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,117,304,18,83,88,Ykalon,304.6484375,-18.3125,2,4.0,0.5,0.4978982
Rocks,1,WOD_Rocks_Round_Small_02,101,288,52,93,70,Ykalon,288.7265625,-52.453125,1,4.0,0.5,0.44871615
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-22,312,3,76,111,Ykalon,312.59375,-3.1328125,2,4.0,0.5,0.4971797
Rocks,1,WOD_Rocks_Round_Small_01,6,304,35,8,47,Ykalon,304.0625,-35.6328125,1,4.0,0.5,0.40078955
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,43,313,7,20,100,Ykalon,313.15625,-7.21875,2,4.0,0.5,0.39223705
Rocks,1,WOD_Rocks_Round_Small_01,-130,301,34,113,10,Ykalon,301.8828125,-34.921875,1,4.0,0.5,0.3833908
Rocks,1,WOD_Rocks_Round_Small_07,71,286,41,127,30,Ykalon,286.9921875,-41.765625,1,4.0,0.5,0.45624385
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,117,313,4,38,59,Ykalon,313.296875,-4.5390625,2,4.0,0.5,0.386158
Rocks,1,WOD_Rocks_Round_Small_06,-60,434,38,65,8,Ykalon,434.5078125,-38.9375,1,4.0,0.5,0.4296804
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,86,307,26,83,53,Ykalon,307.6484375,-26.5859375,2,4.0,0.5,0.4595784
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,87,311,12,99,89,Ykalon,311.7734375,-12.3046875,2,4.0,0.5,0.4013096
