name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude,sink,scale
Mountain,1,WOD_Mountain_08,67,654,293,101,28,65410129328,Lainlyn,654.7890625,-293.78125,4.0,9,1,0.6897268
Mountain,1,WOD_Mountain_09,-92,659,283,65,60,6596528360,Lainlyn,659.5078125,-283.53125,4.0,9,1,0.7715183
Mountain,1,WOD_Mountain_04,40,653,295,36,64,6533629564,Lainlyn,653.28125,-295.5,4.0,9,1,0.8879408
Mountain,1,WOD_Mountain_10,23,664,285,54,3,6645428503,Lainlyn,664.421875,-285.9765625,4.0,9,1,0.8456002
Mountain,1,WOD_Mountain_03,153,651,293,115,54,65111529354,Lainlyn,651.8984375,-293.578125,4.0,9,1,0.9827862
Mountain,1,WOD_Mountain_06,49,653,294,56,84,6535629484,Lainlyn,653.4375,-294.34375,4.0,9,1,0.7610061
Mountain,1,WOD_Mountain_06,-172,651,292,17,56,6511729256,Lainlyn,651.1328125,-292.5625,4.0,9,1,0.8307363
Mountain,1,WOD_Mountain_09,64,664,291,51,4,6645129104,Lainlyn,664.3984375,-291.96875,4.0,5,1,0.819406
Mountain,1,WOD_Mountain_01,-88,659,292,77,79,6597729279,Lainlyn,659.6015625,-292.3828125,4.0,5,1,0.8860835
Mountain,1,WOD_Mountain_08,19,660,300,5,82,6600530082,Lainlyn,660.0390625,-300.359375,4.0,5,1,0.9173735
Mountain,1,WOD_Mountain_10,80,654,292,31,13,6543129213,Lainlyn,654.2421875,-292.8984375,4.0,5,1,0.9021045
Mountain,1,WOD_Mountain_07,-95,648,284,120,58,64812028458,Lainlyn,648.9375,-284.546875,4.0,5,1,0.7345436
Mountain,1,WOD_Mountain_04,-176,651,283,8,5,6510828305,Lainlyn,651.0625,-283.9609375,4.0,5,1,0.6415843
Mountain,1,WOD_Mountain_04,-5,658,297,78,19,6587829719,Lainlyn,658.609375,-297.8515625,4.0,5,1,0.9933532
