name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,272,212,36,27,2723621227,Daggerfall,272.28125,-212.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,183,187,99,91,1839918791,Daggerfall,183.7734375,-187.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,141,155,63,42,1416315542,Daggerfall,141.4921875,-155.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,277,212,58,101,27758212101,Daggerfall,277.453125,-212.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,211,159,38,18,2113815918,Daggerfall,211.296875,-159.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,166,211,52,50,1665221150,Daggerfall,166.40625,-211.609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,124,171,118,72,12411817172,Daggerfall,124.921875,-171.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,187,159,95,8,1879515908,Daggerfall,187.7421875,-159.9375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,179,175,116,122,179116175122,Daggerfall,179.90625,-175.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,259,210,3,120,25903210120,Daggerfall,259.0234375,-210.0625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,140,182,97,82,1409718282,Daggerfall,140.7578125,-182.359375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,108,169,67,49,1086716949,Daggerfall,108.5234375,-169.6171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,242,191,87,19,2428719119,Daggerfall,242.6796875,-191.8515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,237,145,3,84,2370314584,Daggerfall,237.0234375,-145.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,173,188,65,76,1736518876,Daggerfall,173.5078125,-188.40625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,252,148,35,64,2523514864,Daggerfall,252.2734375,-148.5
Shrine of Dibella,0,WOD_Shrine_Dibella_01,137,153,22,33,1372215333,Daggerfall,137.171875,-153.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,103,190,32,114,10332190114,Daggerfall,103.25,-190.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,141,187,60,38,1416018738,Daggerfall,141.46875,-187.703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,139,189,56,106,13956189106,Daggerfall,139.4375,-189.171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,256,205,105,92,25610520592,Daggerfall,256.8203125,-205.28125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,299,195,17,58,2991719558,Daggerfall,299.1328125,-195.546875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,114,173,73,125,11473173125,Daggerfall,114.5703125,-173.0234375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,168,221,79,113,16879221113,Daggerfall,168.6171875,-221.1171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,228,164,18,97,2281816497,Daggerfall,228.140625,-164.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,111,181,5,33,1110518133,Daggerfall,111.0390625,-181.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,109,160,38,61,1093816061,Daggerfall,109.296875,-160.5234375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,299,194,81,12,2998119412,Daggerfall,299.6328125,-194.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,134,181,56,12,1345618112,Daggerfall,134.4375,-181.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,235,181,67,88,2356718188,Daggerfall,235.5234375,-181.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,176,157,76,78,1767615778,Daggerfall,176.59375,-157.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,229,179,81,79,2298117979,Daggerfall,229.6328125,-179.3828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,224,198,109,81,22410919881,Daggerfall,224.8515625,-198.3671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,153,165,8,27,1530816527,Daggerfall,153.0625,-165.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,206,159,28,15,2062815915,Daggerfall,206.21875,-159.8828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,183,221,120,28,18312022128,Daggerfall,183.9375,-221.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,191,166,83,116,19183166116,Daggerfall,191.6484375,-166.09375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,201,173,84,90,2018417390,Daggerfall,201.65625,-173.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,187,219,20,93,1872021993,Daggerfall,187.15625,-219.2734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,222,198,44,20,2224419820,Daggerfall,222.34375,-198.84375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,102,185,76,19,1027618519,Daggerfall,102.59375,-185.8515625
