name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_Ruins,0,WOD_Ruins_05,155,66,107,21,1551076621,155.8359375,-66.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,151,68,107,107,15110768107,151.8359375,-68.1640625
WOD_GuardTower,0,WOD_Guardtower_01,152,68,21,60,152216864,152.1640625,-68.5
WOD_Ruins,0,WOD_Ruins_03,179,68,21,107,1792168107,179.1640625,-68.1640625
WOD_GuardTower,0,WOD_Guardtower_01,180,68,107,111,18010768107,180.8359375,-68.1640625
WOD_BanditFort,0,WOD_BanditFort_01,181,68,21,21,181216821,181.1640625,-68.8359375
WOD_Ruins,0,WOD_Ruins_03,181,68,21,64,181216864,181.1640625,-68.5
WOD_BanditCamp,0,WOD_BanditCamp_05,181,68,64,21,181646821,181.5,-68.8359375
WOD_Ruins,0,WOD_Ruins_03,181,68,107,21,1811076821,181.8359375,-68.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,185,68,64,21,185646821,185.5,-68.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,152,69,21,107,1522169107,152.1640625,-69.1640625
WOD_GuardTower,0,WOD_Guardtower_01,165,69,107,25,1651076921,165.8359375,-69.8359375
WOD_BanditCamp,0,WOD_BanditCamp_06,168,69,21,64,168216964,168.1640625,-69.5
WOD_Ruins,0,WOD_Ruins_03,170,69,64,21,170646921,170.5,-69.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,174,69,21,64,174216964,174.1640625,-69.5
WOD_GuardTower,0,WOD_Guardtower_01,180,69,67,107,1806469107,180.5,-69.1640625
WOD_Ruins,0,WOD_Ruins_01,184,69,107,64,1841076964,184.8359375,-69.5
WOD_BanditCamp,0,WOD_BanditCamp_02,158,70,64,21,158647021,158.5,-70.8359375
WOD_BanditFort,0,WOD_BanditFort_01,161,70,21,64,161217064,161.1640625,-70.5
WOD_BanditCamp,0,WOD_BanditCamp_02,162,70,21,64,162217064,162.1640625,-70.5
WOD_Ruins,0,WOD_Ruins_04,164,70,21,21,164217021,164.1640625,-70.8359375
WOD_Ruins,0,WOD_Ruins_06,164,70,21,107,1642170107,164.1640625,-70.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,164,70,64,107,1646470107,164.5,-70.1640625
WOD_BanditFort,0,WOD_BanditFort_01,167,70,64,60,167647064,167.5,-70.5
WOD_Ruins,0,WOD_Ruins_02,168,70,21,107,1682170107,168.1640625,-70.1640625
WOD_GuardTower,0,WOD_Guardtower_01,169,70,64,66,169647064,169.5,-70.5
