name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,rotYaxis,heightOffset,gisX,gisY
Mountain,3,WOD_Mountain_Brown_01,588,311,58,37,5885831137,Dragontail Mountains,-65,-26,588.453125,-311.7109375
Mountain,3,WOD_Mountain_Brown_02,592,312,22,27,5922231227,Dragontail Mountains,-165,-44,592.171875,-312.7890625
Mountain,3,WOD_Mountain_Brown_03,590,312,67,55,5906731255,Dragontail Mountains,-23,-2,590.5234375,-312.5703125
Mountain,3,WOD_Mountain_Brown_05,594,310,96,101,59496310101,Dragontail Mountains,108,-41,594.75,-310.2109375
Mountain,3,WOD_Mountain_Brown_06,594,304,105,90,59410530490,Dragontail Mountains,17,-82,594.8203125,-304.296875
Mountain,3,WOD_Mountain_Brown_08,599,304,63,101,59963304101,Dragontail Mountains,67,-11,599.4921875,-304.2109375
Mountain,3,WOD_Mountain_Brown_09,600,298,13,9,6001329809,Dragontail Mountains,23,-54,600.1015625,-298.9296875
Mountain,3,WOD_Mountain_Brown_01,592,298,78,104,59278298104,Dragontail Mountains,-5,-60,592.609375,-298.1875
Mountain,3,WOD_Mountain_Brown_02,592,295,91,119,59291295119,Dragontail Mountains,47,-82,592.7109375,-295.0703125
Mountain,3,WOD_Mountain_Brown_03,601,294,1,1,6010129401,Dragontail Mountains,151,-38,601.0078125,-294.9921875
Mountain,3,WOD_Mountain_Brown_04,602,297,10,55,6021029755,Dragontail Mountains,16,-58,602.078125,-297.5703125
Mountain,3,WOD_Mountain_Brown_05,599,288,28,108,59928288108,Dragontail Mountains,172,-99,599.21875,-288.15625
Mountain,3,WOD_Mountain_Brown_07,607,287,68,23,6076828723,Dragontail Mountains,10,-70,607.53125,-287.8203125
Mountain,3,WOD_Mountain_Brown_08,608,291,32,119,60832291119,Dragontail Mountains,13,-52,608.25,-291.0703125
Mountain,3,WOD_Mountain_Brown_09,604,290,76,95,6047629095,Dragontail Mountains,142,-5,604.59375,-290.2578125
Mountain,3,WOD_Mountain_Brown_01,607,294,59,46,6075929446,Dragontail Mountains,97,-99,607.4609375,-294.640625
Mountain,3,WOD_Mountain_Brown_02,612,296,83,97,6128329697,Dragontail Mountains,39,-56,612.6484375,-296.2421875
Mountain,3,WOD_Mountain_Brown_03,614,290,79,49,6147929049,Dragontail Mountains,163,-33,614.6171875,-290.6171875
Mountain,3,WOD_Mountain_Brown_04,614,286,26,73,6142628673,Dragontail Mountains,128,-1,614.203125,-286.4296875
Mountain,3,WOD_Mountain_Brown_05,613,288,119,84,61311928884,Dragontail Mountains,180,-41,613.9296875,-288.34375
Mountain,3,WOD_Mountain_Brown_06,614,285,35,55,6143528555,Dragontail Mountains,-112,-39,614.2734375,-285.5703125
Mountain,3,WOD_Mountain_Brown_07,611,280,55,32,6115528032,Dragontail Mountains,-147,-16,611.4296875,-280.75
Mountain,3,WOD_Mountain_Brown_08,617,286,128,109,617128286109,Dragontail Mountains,-21,-13,618,-286.1484375
Mountain,3,WOD_Mountain_Brown_09,619,290,3,77,6190329077,Dragontail Mountains,-79,-78,619.0234375,-290.3984375
Mountain,3,WOD_Mountain_Brown_01,617,289,78,55,6177828955,Dragontail Mountains,167,-2,617.609375,-289.5703125
Mountain,3,WOD_Mountain_Brown_02,616,287,54,36,6165428736,Dragontail Mountains,54,-61,616.421875,-287.71875
Mountain,3,WOD_Mountain_Brown_03,620,286,64,6,6206428606,Dragontail Mountains,60,-61,620.5,-286.953125
Mountain,3,WOD_Mountain_Brown_04,626,284,123,40,62612328440,Dragontail Mountains,103,-95,626.9609375,-284.6875
Mountain,3,WOD_Mountain_Brown_05,625,284,22,76,6252228476,Dragontail Mountains,-153,-73,625.171875,-284.40625
Mountain,3,WOD_Mountain_Brown_06,634,290,73,88,6347329088,Dragontail Mountains,6,-23,634.5703125,-290.3125
Mountain,3,WOD_Mountain_Brown_07,628,291,82,0,6288229100,Dragontail Mountains,79,-38,628.640625,-292
Mountain,3,WOD_Mountain_Brown_08,622,290,113,60,62211329060,Dragontail Mountains,86,-24,622.8828125,-290.53125
Mountain,3,WOD_Mountain_Brown_09,625,294,56,28,6255629428,Dragontail Mountains,85,-43,625.4375,-294.78125
Mountain,3,WOD_Mountain_Brown_01,627,293,44,27,6274429327,Dragontail Mountains,136,-19,627.34375,-293.7890625
Mountain,3,WOD_Mountain_Brown_02,631,293,19,31,6311929331,Dragontail Mountains,131,-35,631.1484375,-293.7578125
Mountain,3,WOD_Mountain_Brown_03,633,292,28,23,6332829223,Dragontail Mountains,97,-7,633.21875,-292.8203125
Mountain,3,WOD_Mountain_Brown_04,637,287,105,120,637105287120,Dragontail Mountains,161,-83,637.8203125,-287.0625
Mountain,3,WOD_Mountain_Brown_05,642,289,19,93,6421928993,Dragontail Mountains,-49,-41,642.1484375,-289.2734375
Mountain,3,WOD_Mountain_Brown_06,644,290,52,20,6445229020,Dragontail Mountains,-58,-51,644.40625,-290.84375
Mountain,3,WOD_Mountain_Brown_07,642,291,97,68,6429729168,Dragontail Mountains,175,-46,642.7578125,-291.46875
Mountain,3,WOD_Mountain_Brown_08,637,292,31,51,6373129251,Dragontail Mountains,135,-65,637.2421875,-292.6015625
Mountain,3,WOD_Mountain_Brown_09,647,294,74,38,6477429438,Dragontail Mountains,113,0,647.578125,-294.703125
Mountain,3,WOD_Mountain_Brown_01,648,298,124,124,648124298124,Dragontail Mountains,-144,-59,648.96875,-298.03125
Mountain,3,WOD_Mountain_Brown_02,648,296,116,19,64811629619,Dragontail Mountains,102,-2,648.90625,-296.8515625
Mountain,3,WOD_Mountain_Brown_03,646,297,13,41,6461329741,Dragontail Mountains,24,-83,646.1015625,-297.6796875
Mountain,3,WOD_Mountain_Brown_04,646,300,13,68,6461330068,Dragontail Mountains,-135,-63,646.1015625,-300.46875
Mountain,3,WOD_Mountain_Brown_05,643,301,13,69,6431330169,Dragontail Mountains,127,-70,643.1015625,-301.4609375
Mountain,3,WOD_Mountain_Brown_06,643,297,8,118,64308297118,Dragontail Mountains,168,-7,643.0625,-297.078125
Mountain,3,WOD_Mountain_Brown_07,643,298,26,109,64326298109,Dragontail Mountains,137,-35,643.203125,-298.1484375
Mountain,3,WOD_Mountain_Brown_08,634,298,35,13,6343529813,Dragontail Mountains,-138,-83,634.2734375,-298.8984375
Mountain,3,WOD_Mountain_Brown_09,638,298,123,97,63812329897,Dragontail Mountains,26,-64,638.9609375,-298.2421875
Mountain,3,WOD_Mountain_Brown_01,636,302,14,110,63614302110,Dragontail Mountains,43,-62,636.109375,-302.140625
Mountain,3,WOD_Mountain_Brown_02,631,302,42,115,63142302115,Dragontail Mountains,108,-76,631.328125,-302.1015625
Mountain,3,WOD_Mountain_Brown_03,632,300,68,55,6326830055,Dragontail Mountains,-103,-22,632.53125,-300.5703125
Mountain,3,WOD_Mountain_Brown_04,628,301,40,32,6284030132,Dragontail Mountains,-108,-99,628.3125,-301.75
Mountain,3,WOD_Mountain_Brown_05,626,302,83,67,6268330267,Dragontail Mountains,-4,0,626.6484375,-302.4765625
Mountain,3,WOD_Mountain_Brown_06,622,301,8,5,6220830105,Dragontail Mountains,-94,-77,622.0625,-301.9609375
Mountain,3,WOD_Mountain_Brown_08,620,303,105,10,62010530310,Dragontail Mountains,112,-1,620.8203125,-303.921875
Mountain,3,WOD_Mountain_Brown_09,619,305,40,83,6194030583,Dragontail Mountains,-53,-98,619.3125,-305.3515625
Mountain,3,WOD_Mountain_Brown_01,622,304,69,29,6226930429,Dragontail Mountains,16,-39,622.5390625,-304.7734375
Mountain,3,WOD_Mountain_Brown_02,617,300,18,68,6171830068,Dragontail Mountains,-174,-26,617.140625,-300.46875
Mountain,3,WOD_Mountain_Brown_03,617,294,47,12,6174729412,Dragontail Mountains,70,-90,617.3671875,-294.90625
Mountain,3,WOD_Mountain_Brown_04,614,293,116,12,61411629312,Dragontail Mountains,88,-31,614.90625,-293.90625
Mountain,3,WOD_Mountain_Brown_05,611,300,10,18,6111030018,Dragontail Mountains,-14,-98,611.078125,-300.859375
Mountain,3,WOD_Mountain_Brown_06,611,303,119,65,61111930365,Dragontail Mountains,-33,-22,611.9296875,-303.4921875
Mountain,3,WOD_Mountain_Brown_07,614,305,72,28,6147230528,Dragontail Mountains,-44,-25,614.5625,-305.78125
Mountain,3,WOD_Mountain_Brown_08,612,307,33,88,6123330788,Dragontail Mountains,-110,-2,612.2578125,-307.3125
Mountain,3,WOD_Mountain_Brown_09,609,311,118,58,60911831158,Dragontail Mountains,151,-60,609.921875,-311.546875
Mountain,3,WOD_Mountain_Brown_01,620,311,76,110,62076311110,Dragontail Mountains,-51,-91,620.59375,-311.140625
Mountain,3,WOD_Mountain_Brown_02,620,310,97,91,6209731091,Dragontail Mountains,67,-14,620.7578125,-310.2890625
Mountain,3,WOD_Mountain_Brown_03,625,309,101,127,625101309127,Dragontail Mountains,117,-56,625.7890625,-309.0078125
Mountain,3,WOD_Mountain_Brown_04,630,307,9,37,6300930737,Dragontail Mountains,-101,0,630.0703125,-307.7109375
