name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_02,694,104,105,27,69410510427,Alcaire,694.8203125,-104.7890625
Bandit Fort,0,WOD_BanditFort_03,689,123,70,46,6897012346,Alcaire,689.546875,-123.640625
Bandit Fort,0,WOD_BanditFort_03,745,129,76,23,7457612923,Alcaire,745.59375,-129.8203125
Bandit Camp,0,WOD_BanditCamp_05,713,96,61,97,713619697,Alcaire,713.4765625,-96.2421875
Bandit Camp,0,WOD_BanditCamp_02,733,135,4,58,7330413558,Alcaire,733.03125,-135.546875
Bandit Fort,0,WOD_BanditFort_02,757,134,45,111,75745134111,Alcaire,757.3515625,-134.1328125
Bandit Camp,0,WOD_BanditCamp_02,740,124,55,76,7405512476,Alcaire,740.4296875,-124.40625
Bandit Fort,0,WOD_BanditFort_03,745,130,55,108,74555130108,Alcaire,745.4296875,-130.15625
Bandit Camp,0,WOD_BanditCamp_01,745,130,52,95,7455213095,Alcaire,745.40625,-130.2578125
Bandit Camp,0,WOD_BanditCamp_05,718,131,101,17,71810113117,Alcaire,718.7890625,-131.8671875
Bandit Fort,0,WOD_BanditFort_02,734,128,23,87,7342312887,Alcaire,734.1796875,-128.3203125
Bandit Camp,0,WOD_BanditCamp_06,710,127,104,3,71010412703,Alcaire,710.8125,-127.9765625
Bandit Fort,0,WOD_BanditFort_01,695,104,56,86,6955610486,Alcaire,695.4375,-104.328125
Bandit Camp,0,WOD_BanditCamp_02,702,105,31,100,70231105100,Alcaire,702.2421875,-105.21875
Bandit Camp,0,WOD_BanditCamp_05,723,100,115,5,72311510005,Alcaire,723.8984375,-100.9609375
Bandit Fort,0,WOD_BanditFort_01,726,126,64,42,7266412642,Alcaire,726.5,-126.671875
